0,0,91
1,0,80
2,0,81
3,0,78
4,0,78
5,0,80
6,0,78
7,0,73
8,0,71
9,0,69
10,0,64
11,0,63
12,0,63
13,0,63
14,0,87
15,0,105
16,0,107
17,0,110
18,0,114
19,0,120
20,0,126
21,0,135
22,0,159
23,0,204
24,0,219
0,1,82
1,1,90
2,1,99
3,1,135
4,1,195
5,1,214
6,1,213
7,1,201
8,1,192
9,1,175
10,1,154
11,1,127
12,1,100
13,1,82
14,1,67
15,1,61
16,1,56
17,1,55
18,1,57
19,1,61
20,1,67
21,1,80
22,1,111
23,1,168
24,1,183
0,2,95
1,2,88
2,2,91
3,2,99
4,2,123
5,2,180
6,2,242
7,2,256
8,2,238
9,2,208
10,2,218
11,2,238
12,2,238
13,2,239
14,2,237
15,2,216
16,2,195
17,2,166
18,2,132
19,2,98
20,2,73
21,2,67
22,2,75
23,2,95
24,2,133
0,3,99
1,3,90
2,3,89
3,3,98
4,3,119
5,3,158
6,3,229
7,3,255
8,3,254
9,3,230
10,3,179
11,3,174
12,3,179
13,3,196
14,3,240
15,3,260
16,3,256
17,3,254
18,3,243
19,3,228
20,3,166
21,3,103
22,3,95
23,3,120
24,3,175
0,4,102
1,4,90
2,4,87
3,4,92
4,4,105
5,4,130
6,4,195
7,4,255
8,4,267
9,4,261
10,4,217
11,4,177
12,4,148
13,4,138
14,4,164
15,4,182
16,4,203
17,4,237
18,4,257
19,4,236
20,4,118
21,4,104
22,4,119
23,4,176
24,4,197
0,5,106
1,5,93
2,5,86
3,5,84
4,5,84
5,5,101
6,5,123
7,5,186
8,5,255
9,5,260
10,5,149
11,5,233
12,5,211
13,5,156
14,5,122
15,5,126
16,5,138
17,5,155
18,5,195
19,5,252
20,5,225
21,5,142
22,5,116
23,5,126
24,5,185
0,6,78
1,6,74
2,6,73
3,6,77
4,6,89
5,6,106
6,6,157
7,6,224
8,6,269
9,6,292
10,6,299
11,6,294
12,6,266
13,6,230
14,6,206
15,6,150
16,6,127
17,6,182
18,6,237
19,6,235
20,6,150
21,6,124
22,6,131
23,6,192
24,6,206
0,7,66
1,7,69
2,7,68
3,7,71
4,7,79
5,7,98
6,7,126
7,7,180
8,7,233
9,7,272
10,7,287
11,7,288
12,7,283
13,7,266
14,7,230
15,7,178
16,7,212
17,7,241
18,7,236
19,7,173
20,7,127
21,7,124
22,7,192
23,7,208
24,7,209
0,8,73
1,8,67
2,8,61
3,8,58
4,8,62
5,8,66
6,8,73
7,8,82
8,8,99
9,8,136
10,8,177
11,8,226
12,8,265
13,8,286
14,8,293
15,8,277
16,8,261
17,8,252
18,8,246
19,8,228
20,8,162
21,8,119
22,8,129
23,8,193
24,8,203
0,9,80
1,9,73
2,9,65
3,9,61
4,9,58
5,9,57
6,9,57
7,9,60
8,9,63
9,9,71
10,9,85
11,9,102
12,9,135
13,9,180
14,9,214
15,9,236
16,9,248
17,9,247
18,9,237
19,9,219
20,9,185
21,9,130
22,9,128
23,9,180
24,9,208
0,10,84
1,10,69
2,10,63
3,10,58
4,10,55
5,10,54
6,10,54
7,10,55
8,10,55
9,10,58
10,10,61
11,10,67
12,10,79
13,10,90
14,10,107
15,10,128
16,10,141
17,10,145
18,10,142
19,10,136
20,10,130
21,10,121
22,10,120
23,10,142
24,10,201
